Divisão;Unidade;Código Cliente;Projeto Financeiro;Mês base;Status Cobrança
KG92;P222;324215;146397;30/04/2024;Financiamento - Em Tratativa
M330;U05;325799;147630;30/04/2024;Não atende
LB62;H226;326063;181890;30/04/2024;Em dia
LB62;H225;326063;182173;30/04/2024;Em dia
KF86;QA303;326167;147908;30/04/2024;Recado
KF86;QA304;326167;147909;30/04/2024;Recado
M330;M02;326253;147975;30/04/2024;Ação judicial
M330;S15;326741;148385;30/04/2024;Não atende
M692;J07;326817;148449;30/04/2024;Não localizado
M330;R21;328107;149496;30/04/2024;Recado
K232;A097;328232;149607;30/04/2024;Pago / Em dia
M092;R05;328342;149700;30/04/2024;Não atende/Enviado whatsapp
KF86;GA304;328695;150005;30/04/2024;Retorno
KF86;GA306;353686;169501;30/04/2024;Pago / Em dia
LA36;C408;47773;178068;30/04/2024;Pago / Em dia
LA36;S417;277718;177929;30/04/2024;Financiamento - Em Tratativa
LA36;S418;277718;177935;30/04/2024;Financiamento - Em Tratativa
K19X;S16;333278;154453;30/04/2024;Ação judicial
M330;S14;334361;154821;30/04/2024;Não atende
M692;J06;334575;155012;30/04/2024;Promessa parcial
K19X;S03;336921;156857;30/04/2024;Ação judicial
M632;Q0103;339473;158996;30/04/2024;Não atende/Enviado whatsapp
M692;AL04;339617;159128;30/04/2024;Pago / Em dia
KG92;L207;341701;160678;30/04/2024;Não atende
M522;21A08;341793;160781;30/04/2024;Promessa de pagamento
M692;E18;341806;160802;30/04/2024;Retorno
M330;G05;341811;160813;30/04/2024;ANDAMENTO ESTEIRA DE AF
M522;16A30;341832;162773;30/04/2024;Recado
M322;Q1905;343547;162277;30/04/2024;Financiamento - Em Tratativa
M322;Q1509;343555;162283;30/04/2024;Não atende
M522;27A13;343566;162291;30/04/2024;Financiamento - Em Tratativa
KN06;M514;344249;162911;30/04/2024;Em dia
KN06;I510;344291;162955;30/04/2024;Financiamento - Em Tratativa
KN06;H505;344291;162974;30/04/2024;Financiamento - Em Tratativa
KN06;B504;344318;162987;30/04/2024;Financiamento - Não atende
KN06;B505;344339;163012;30/04/2024;Financiamento - Em Tratativa
L73X;240981;344662;171065;30/04/2024;Financiamento - Sem interesse
L242;K18;344955;163488;30/04/2024;Não atende
L47X;D129;345377;163816;30/04/2024;Não atende
M916;C0105;345378;133036;30/04/2024;Pago / Em dia
KG92;G202;345411;163837;30/04/2024;Promessa de pagamento
KF86;AA310;345604;163980;30/04/2024;Não atende
M330;K06;345726;164071;30/04/2024;ANDAMENTO ESTEIRA DE AF
M330;N01;346042;164307;30/04/2024;Não atende/Enviado whatsapp
KF86;Y313;346048;164311;30/04/2024;Não atende
K232;A087;346283;164498;30/04/2024;Não atende
KD82;K07;246464;176464;30/04/2024;Não atende
KQ12;M03;50270;179247;30/04/2024;Direcionado ao SAC - Duvidas
M692;B18;346351;164535;30/04/2024;Não atende
K872;K11;346360;164537;30/04/2024;Financiamento - Em Tratativa
LA36;C406;346715;177883;30/04/2024;Financiamento - Em Tratativa
M692;AG16;346913;165056;30/04/2024;Não atende
M522;19A24;347321;165365;30/04/2024;Em Negociação
K15X;H124;42055;RI627280;30/04/2024;Não atende
K15X;H123;42055;RI627279;30/04/2024;Não atende
K15X;T126;44251;RI627638;30/04/2024;Bloqueio de cobrança Ausa
KN06;H511;52704;162908;30/04/2024;Não atende/Enviado whatsapp
KL26;QC910;52704;167505;30/04/2024;Não atende/Enviado whatsapp
K32X;28B10;87322;20631;30/04/2024;Ação judicial
LD16;C510;347507;183529;30/04/2024;Preventivo de Acordo/Promessa
LD16;J502;347507;183455;30/04/2024;Preventivo de Acordo/Promessa
KJ82;Q1113;346583;178477;30/04/2024;Financiamento - Em Tratativa
M822;Z411;347926;165785;30/04/2024;Sem acordo
KN06;M528;347942;165799;30/04/2024;Financiamento - Em Tratativa
M692;U03;347968;165814;30/04/2024;Pago / Em dia
LD16;A517;347977;180715;30/04/2024;Não atende
KP66;QC1606;347985;176078;30/04/2024;Pago / Em dia
LD16;A516;348000;180816;30/04/2024;Pago / Em dia
KK22;I103;345815;164153;30/04/2024;Financiamento - Em Tratativa
KK22;F105;345926;164234;30/04/2024;Não atende
KK22;K110;345998;164283;30/04/2024;Financiamento - Em Tratativa
KK22;H106;346153;164386;30/04/2024;Financiamento - Em Tratativa
KK22;P108;346232;164463;30/04/2024;Bloqueio de cobrança Ausa
KK22;N110;346236;164465;30/04/2024;Bloqueio de cobrança Ausa
KN06;A513;348158;165949;30/04/2024;Não atende
KJ82;Q1001;251789;178574;30/04/2024;Financiamento - Em Tratativa
K11X;144507;265394;99858;30/04/2024;Não atende/Enviado whatsapp
M692;H08;265826;100235;30/04/2024;Bloqueio de cobrança Ausa
M916;E118;275769;107661;30/04/2024;Preventivo de Acordo/Promessa
M092;F06;275998;107800;30/04/2024;Pago / Em dia
LE56;MU0310;300635;182553;30/04/2024;Promessa de pagamento
LB22;AJ314;349707;181341;30/04/2024;Preventivo de Acordo/Promessa
KD82;E08;171588;180594;30/04/2024;Pago / Em dia
LD16;Q515;276462;181049;30/04/2024;Promessa de pagamento
KT16;L418;277675;170218;30/04/2024;Promessa de pagamento
LA36;D421;277741;177977;30/04/2024;Promessa de pagamento
LE56;MU0109;277741;182515;30/04/2024;Promessa de pagamento
LA36;T421;283024;178259;30/04/2024;Financiamento - Em Tratativa
LA36;T422;283024;177931;30/04/2024;Financiamento - Em Tratativa
M632;Q1503;288883;117579;30/04/2024;Não atende
M632;Q1502;288884;117899;30/04/2024;Não atende
M692;AB09;293637;121183;30/04/2024;Financiamento - Não atende
KD82;F17;294004;178705;30/04/2024;Recado
LB62;AB208;294004;182363;30/04/2024;Recado
LB62;I210;294004;182263;30/04/2024;Recado
KQ12;R04;313647;179427;30/04/2024;Financiamento - Em Tratativa
KD82;O21;171864;183028;30/04/2024;Não atende
KP92;D106;353247;169574;30/04/2024;Promessa de pagamento
KP92;M145;353259;169580;30/04/2024;Pago / Em dia
KT16;L415;353623;169679;30/04/2024;Não atende
KT16;K403;353626;169685;30/04/2024;Retorno
KT16;Z412;354040;169667;30/04/2024;Sem acordo
LD16;V506;353641;180705;30/04/2024;Não atende
KT16;F403;353644;169702;30/04/2024;Preventivo de Acordo/Promessa
KT16;BA401;353795;169693;30/04/2024;Promessa parcial
KT16;M442;354112;169694;30/04/2024;Não atende
KT16;K412;354122;169704;30/04/2024;Pago / Em dia
KT16;F434;348493;169714;30/04/2024;Pago / Em dia
KT16;N418;353632;169719;30/04/2024;Pago / Em dia
KT16;S415;353645;169731;30/04/2024;Financiamento - Não atende
LD16;F508;354145;180803;30/04/2024;Financiamento - Em Tratativa
KT16;Z414;354147;169732;30/04/2024;Financiamento - Em Tratativa
KP92;M133;354036;169820;30/04/2024;Não atende
KT16;K401;354049;169885;30/04/2024;Promessa de pagamento
KT16;N408;354092;169817;30/04/2024;Financiamento - Desistiu do financiamento
KT16;BA410;354115;169815;30/04/2024;Pago / Em dia
M692;R08;354079;169861;30/04/2024;Não atende
KT16;N407;354090;169847;30/04/2024;Financiamento - Finalizado
M692;A15;353979;169969;30/04/2024;Financiamento - Sem interesse
KP92;N116;353392;169996;30/04/2024;Recado
M916;TA124;354369;170005;30/04/2024;Não atende
KT16;BA404;354500;169988;30/04/2024;Direcionado ao SAC - Duvidas
KP92;L134;354791;170275;30/04/2024;Promessa de pagamento
KT16;A401;354819;170326;30/04/2024;Não atende
M330;T14;354843;170257;30/04/2024;Recado
LB22;AJ319;354945;182460;30/04/2024;Não atende
KZ22;Z209;355115;177656;30/04/2024;Pago / Em dia
KE42;R101;355123;170411;30/04/2024;Alega pagamento
LE62;F314;355188;183834;30/04/2024;Em dia
M692;AC07;305600;130905;30/04/2024;Ação judicial
M916;C0202;308198;133034;30/04/2024;Não atende
LE56;MU0401;308645;182580;30/04/2024;Promessa de pagamento
LA36;O401;308645;178060;30/04/2024;Promessa de pagamento
KT16;G418;308665;174281;30/04/2024;Pago / Em dia
LA36;G415;308963;178062;30/04/2024;Preventivo de Acordo/Promessa
LA36;Q402;354773;177944;30/04/2024;Promessa de pagamento
KT16;J412;353733;170591;30/04/2024;Não atende
KE42;T101;355394;170595;30/04/2024;Não atende
KT16;J428;355616;170587;30/04/2024;Não atende
KE42;F103;355578;170623;30/04/2024;Pago / Em dia
KT16;W430;355901;170777;30/04/2024;Retorno
KT16;AA414;355981;170739;30/04/2024;Em dia
LD16;N505;355982;180712;30/04/2024;Financiamento - Em Tratativa
M092;A14;356051;170715;30/04/2024;Não atende/Enviado whatsapp
KN06;Y515;354283;170917;30/04/2024;Financiamento - Não atende
KE42;L109;355175;170939;30/04/2024;Retorno
KT16;BA413;356658;171015;30/04/2024;Pago / Em dia
KT16;G402;356707;171019;30/04/2024;Não atende
M916;E113;356750;171054;30/04/2024;Retorno
M632;Q0106;356763;171078;30/04/2024;Não atende
KT16;L422;356889;171233;30/04/2024;Financiamento - Desistiu do financiamento
KD82;L07;356998;182906;30/04/2024;Recado
KL26;QC807;350917;182466;30/04/2024;Pago / Em dia
LA36;Q425;350917;178183;30/04/2024;Pago / Em dia
KN06;AA503;357189;171350;30/04/2024;Financiamento - Em Tratativa
KT16;O408;357237;171348;30/04/2024;Pago / Em dia
LD16;J519;357240;180723;30/04/2024;Direcionado ao SAC - Duvidas
LD16;J520;357240;180722;30/04/2024;Direcionado ao SAC - Duvidas
M782;CO0201;357393;171535;30/04/2024;Não atende
KJ82;Q0207;357824;178570;30/04/2024;Pago / Em dia
M782;P101;357361;172042;30/04/2024;Financiamento - Em Tratativa
M782;F118;357396;172035;30/04/2024;Promessa de pagamento
KT16;M441;357798;172072;30/04/2024;Pago / Em dia
M782;B131;357867;172195;30/04/2024;Não atende
M782;M120;357962;172230;30/04/2024;Financiamento - Em Tratativa
KP72;C103;358334;172347;30/04/2024;Em Negociação
KP72;B101;358335;172462;30/04/2024;Direcionado ao SAC - Duvidas
KP66;QC1604;358344;177115;30/04/2024;Em dia
