Divisão;Unidade;Código Cliente;Projeto Financeiro;Mês base;Status Cobrança
KJ82;Q0408;404885;178589;30/04/2024;Financiamento - Sem interesse
KJ82;Q0517;404895;178503;30/04/2024;Financiamento - Não atende
KJ82;Q0303;404909;178539;30/04/2024;Retorno
KJ82;Q0929;404946;178543;30/04/2024;Direcionado ao SAC - Duvidas
KJ82;Q0527;404960;178549;30/04/2024;Financiamento - Finalizado
KJ82;Q0524;404961;178547;30/04/2024;Financiamento - Finalizado
KJ82;Q0525;404961;178551;30/04/2024;Financiamento - Finalizado
KJ82;Q0526;404963;178573;30/04/2024;Financiamento - Finalizado
KJ82;Q0602;405048;178475;30/04/2024;Financiamento - Finalizado
KJ82;Q0916;405408;178512;30/04/2024;Preventivo de Acordo/Promessa
KJ82;Q1112;405411;178476;30/04/2024;Financiamento - Não atende
KJ82;Q1031;405414;178478;30/04/2024;Financiamento - Em Tratativa
KJ82;Q0919;405452;178520;30/04/2024;Recado
KJ82;Q0702;405910;178601;30/04/2024;Financiamento - Sem interesse
KJ82;Q0918;405940;178592;30/04/2024;Financiamento - Em Tratativa
KZ22;FA206;405883;178702;30/04/2024;Pago / Em dia
LE62;A304;405883;183900;30/04/2024;Pago / Em dia
KJ82;Q0613;406011;178706;30/04/2024;Pago / Em dia
KJ62;E206;406103;179810;30/04/2024;Preventivo de Acordo/Promessa
KP72;CO0101;406103;178712;30/04/2024;Preventivo de Acordo/Promessa
KP72;S107;406103;179606;30/04/2024;Pago / Em dia
KP72;CO0102;406104;178713;30/04/2024;Preventivo de Acordo/Promessa
M916;VA114;406113;178708;30/04/2024;Promessa de pagamento
KD82;Y07;406172;178724;30/04/2024;Pago / Em dia
KT32;Y513;406359;178818;30/04/2024;Promessa de pagamento
KT16;W405;360305;170142;30/04/2024;Pago / Em dia
KD82;X03;388227;178906;30/04/2024;Retorno
KZ22;DA202;405933;178473;30/04/2024;Não atende
KJ82;Q0901;406026;178957;30/04/2024;Pago / Em dia
L242;H01;406053;178837;30/04/2024;Recado
KD82;X09;406061;178836;30/04/2024;Preventivo de Acordo/Promessa
KZ22;HA213;406083;178865;30/04/2024;Promessa de pagamento
KJ82;Q0631;406275;178846;30/04/2024;"Aguardando ""De acordo"""
KF22;E212;406366;178855;30/04/2024;Não atende
KJ82;Q1103;406382;178898;30/04/2024;Financiamento - Em Tratativa
KJ22;E120;406405;176132;30/04/2024;Promessa de pagamento
KJ82;Q1021;406423;178869;30/04/2024;Financiamento - Finalizado
KJ82;Q0537;406435;178897;30/04/2024;Financiamento - Finalizado
KJ82;Q0614;406441;178873;30/04/2024;Financiamento - Em Tratativa
KP66;QC1301;406453;178876;30/04/2024;Recado
KT32;G508;406509;178994;30/04/2024;Pago / Em dia
KD82;D04;406541;179017;30/04/2024;Financiamento - Em Tratativa
KF86;J312;406674;170667;30/04/2024;Não atende
KJ82;Q0312;406688;179053;30/04/2024;Recado
KD82;U04;406719;179083;30/04/2024;Pago / Em dia
KJ82;Q0529;406723;179093;30/04/2024;Pago / Em dia
KJ82;Q0522;406736;179067;30/04/2024;Pago / Em dia
KJ82;Q0212;406745;179079;30/04/2024;"Aguardando ""De acordo"""
KJ82;Q0334;406747;179066;30/04/2024;Pago / Em dia
KJ82;Q0335;406747;179065;30/04/2024;Pago / Em dia
KJ82;Q0742;406791;179084;30/04/2024;Pago / Em dia
KJ82;Q1132;406792;179062;30/04/2024;Não atende
KJ82;Q1102;406792;179063;30/04/2024;Não atende
KF86;F317;406795;179076;30/04/2024;Retorno
KJ82;Q0531;406800;179082;30/04/2024;Financiamento - Sem interesse
KF22;E209;406801;181997;30/04/2024;Não atende
KF22;A211;406801;181868;30/04/2024;Não atende
KF22;D206;406801;179057;30/04/2024;Não atende
KF22;D205;406801;179058;30/04/2024;Não atende
KJ82;Q0740;406816;179088;30/04/2024;Pago / Em dia
KD82;Y11;406821;179073;30/04/2024;Financiamento - Sem interesse
KD82;K26;406826;184078;30/04/2024;Retorno
KD82;K25;406826;184076;30/04/2024;Retorno
KQ12;F12;278021;179221;30/04/2024;Pago / Em dia
KQ12;P03;278734;179260;30/04/2024;Financiamento - Em Tratativa
KF22;B215;377697;179308;30/04/2024;Promessa de pagamento
KQ12;S09;407042;179143;30/04/2024;Financiamento - Em Tratativa
KQ12;V23;407043;179317;30/04/2024;Pago / Em dia
KQ12;B06;407047;179146;30/04/2024;Direcionado ao SAC - Duvidas
KQ12;S05;407051;179318;30/04/2024;Financiamento - Em Tratativa
KQ12;C02;407057;179430;30/04/2024;Pago / Em dia
KQ12;A15;407063;179304;30/04/2024;Pago / Em dia
KQ12;J01;407069;179164;30/04/2024;Financiamento - Em Tratativa
KQ12;E07;407073;179222;30/04/2024;Direcionado ao SAC - Duvidas
KQ12;N07;407077;179136;30/04/2024;Pago / Em dia
KQ12;N09;407077;179207;30/04/2024;Pago / Em dia
KQ12;M07;407079;179138;30/04/2024;Pago / Em dia
KQ12;O04;407082;179212;30/04/2024;Pago / Em dia
KQ12;K09;407091;179340;30/04/2024;Financiamento - Em Tratativa
KQ12;V03;407094;179211;30/04/2024;Direcionado ao SAC - Duvidas
KQ12;K06;407094;179209;30/04/2024;Direcionado ao SAC - Duvidas
KQ12;E15;407095;179208;30/04/2024;Financiamento - Em Tratativa
KQ12;O07;407100;179140;30/04/2024;Não atende
KQ12;S22;407111;179137;30/04/2024;Promessa de pagamento
KQ12;S04;407115;179275;30/04/2024;Pago / Em dia
KQ12;H03;407128;179388;30/04/2024;Financiamento - Em Tratativa
KQ12;O20;407132;179180;30/04/2024;Pago / Em dia
KQ12;K18;407133;179131;30/04/2024;Não atende
KQ12;S16;407135;179135;30/04/2024;Financiamento - Em Tratativa
KQ12;S17;407135;179132;30/04/2024;Financiamento - Em Tratativa
KQ12;D02;407137;179303;30/04/2024;Preventivo de Acordo/Promessa
KQ12;E11;407139;179315;30/04/2024;Pago / Em dia
KQ12;O24;407141;179387;30/04/2024;Pago / Em dia
KQ12;O18;407142;179126;30/04/2024;Pago / Em dia
KQ12;J04;407145;179270;30/04/2024;Financiamento - Em Tratativa
KQ12;M13;407147;179337;30/04/2024;Pago / Em dia
LF33;X24;407147;183564;30/04/2024;Pago / Em dia
KQ12;I11;407149;179169;30/04/2024;Não atende
KQ12;F10;407152;179265;30/04/2024;Financiamento - Sem interesse
KQ12;M14;407154;179204;30/04/2024;Financiamento - Em Tratativa
KQ12;I06;407162;179400;30/04/2024;Pago / Em dia
KQ12;F05;407164;179205;30/04/2024;Pago / Em dia
KQ12;M02;407167;179123;30/04/2024;Não atende
KQ12;U17;407167;180612;30/04/2024;Não atende
KQ12;V02;407167;179122;30/04/2024;Pago / Em dia
KQ12;V18;407168;179124;30/04/2024;Promessa de pagamento
KQ12;S21;407178;179203;30/04/2024;Pago / Em dia
KQ12;S26;407184;179336;30/04/2024;Financiamento - Em Tratativa
KQ12;O08;407185;179300;30/04/2024;Pago / Em dia
KQ12;O09;407185;179301;30/04/2024;Pago / Em dia
KQ12;I03;49878;179150;30/04/2024;Financiamento - Em Tratativa
KQ12;I04;49878;179147;30/04/2024;Financiamento - Em Tratativa
KQ12;P04;343258;179461;30/04/2024;Direcionado ao SAC - Duvidas
KQ12;T07;343258;179462;30/04/2024;Direcionado ao SAC - Duvidas
KT32;Y506;376476;179468;30/04/2024;Preventivo de Acordo/Promessa
KF22;G221;379583;179552;30/04/2024;Pago / Em dia
KJ82;Q0824;406847;179492;30/04/2024;Óbito
KJ82;Q0825;406847;179493;30/04/2024;Óbito
KQ12;R01;406949;179508;30/04/2024;Preventivo de Acordo/Promessa
KQ12;R02;406949;179507;30/04/2024;Pago / Em dia
KQ12;K01;406986;179436;30/04/2024;Alega pagamento
KQ12;N01;407160;179454;30/04/2024;Não atende
K19X;R09;407253;179533;30/04/2024;Pago / Em dia
M330;I06;407253;182695;30/04/2024;Pago / Em dia
KQ12;S12;407329;179466;30/04/2024;Pago / Em dia
KQ12;S10;407348;179498;30/04/2024;Promessa de pagamento
KQ12;S11;407349;179452;30/04/2024;Não atende
KQ12;S15;407400;179451;30/04/2024;Retorno
KF22;K207;407424;179506;30/04/2024;Sem acordo
KF22;B223;407426;179470;30/04/2024;Não atende/Enviado whatsapp
KQ12;D08;407430;179465;30/04/2024;Pago / Em dia
KD26;N206;407445;179435;30/04/2024;Pago / Em dia
KQ12;K12;407448;179476;30/04/2024;Financiamento - Em Tratativa
LA8X;AR01;407448;183434;30/04/2024;Financiamento - Em Tratativa
KD82;R42;407460;179450;30/04/2024;Financiamento - Em Tratativa
KQ12;W06;407463;179434;30/04/2024;Financiamento - Em Tratativa
KD82;G20;407481;179467;30/04/2024;Não atende
KJ82;Q1304;407495;179542;30/04/2024;Pago / Em dia
KJ82;Q1306;407516;179497;30/04/2024;Promessa de pagamento
KQ12;O12;407520;179545;30/04/2024;Pago / Em dia
KQ12;X04;407520;179544;30/04/2024;Pago / Em dia
KQ12;V17;407525;179502;30/04/2024;Financiamento - Em Tratativa
KJ82;Q0534;407538;179519;30/04/2024;Pago / Em dia
KJ82;Q0640;407746;179660;30/04/2024;Promessa de pagamento
KT82;SA202;407750;179708;30/04/2024;Retorno
KT82;UA207;407760;179626;30/04/2024;Pago / Em dia
KD82;G17;407763;179665;30/04/2024;Não atende
KD82;G18;407763;179664;30/04/2024;Não atende
KD82;H08;407776;180501;30/04/2024;Preventivo de Acordo/Promessa
KF22;G229;407783;179676;30/04/2024;Financiamento - Em Tratativa
M152;F324;407806;179704;30/04/2024;Promessa de pagamento
KJ82;Q0701;407813;179658;30/04/2024;Pago / Em dia
KJ82;Q0927;407814;179703;30/04/2024;Financiamento - Sem interesse
KJ82;Q1122;407814;181498;30/04/2024;Financiamento - Não atende
KJ82;Q1222;407814;182763;30/04/2024;Financiamento - Possui Interesse
KJ82;Q1213;407832;179655;30/04/2024;Financiamento - Em Tratativa
KJ82;Q1214;407833;179656;30/04/2024;Financiamento - Em Tratativa
KQ12;N03;407836;179213;30/04/2024;Financiamento - Em Tratativa
KF22;I231;407838;179720;30/04/2024;Financiamento - Em Tratativa
KF22;I230;407838;179721;30/04/2024;Financiamento - Em Tratativa
KF22;B219;407839;179719;30/04/2024;Pago / Em dia
KJ82;Q1209;407854;179711;30/04/2024;Financiamento - Em Tratativa
KT82;SA205;407863;179718;30/04/2024;Pago / Em dia
KD82;T08;275022;179747;30/04/2024;Financiamento - Sem interesse
L242;Q33;361326;164374;30/04/2024;Não atende
KF22;F220;389957;179753;30/04/2024;Promessa de pagamento
KF22;L224;407470;179743;30/04/2024;Não atende
KD82;T02;408141;179829;30/04/2024;Pago / Em dia
KJ82;Q0905;251137;179963;30/04/2024;Pago / Em dia
KT32;L509;362774;179841;30/04/2024;Financiamento - Finalizado
KT32;A517;362774;180692;30/04/2024;Financiamento - Finalizado
KT16;Y411;408089;170807;30/04/2024;Financiamento bancario
KJ82;Q1005;408143;179833;30/04/2024;Promessa de pagamento
KD82;F04;408149;179864;30/04/2024;Não atende
KT82;PA205;408167;179951;30/04/2024;Retorno
KJ82;Q0336;408168;179954;30/04/2024;Financiamento - Em Tratativa
KT32;L504;408180;179856;30/04/2024;Não atende
KD82;S34;408183;179863;30/04/2024;Pago / Em dia
KJ82;Q0902;408186;179861;30/04/2024;Pago / Em dia
KF86;Y332;403088;170909;30/04/2024;Bloqueio de cobrança Ausa
K19X;Y01;403138;177536;30/04/2024;Ação judicial
KF22;L203;403151;177538;30/04/2024;Recado
KF22;L204;403151;177540;30/04/2024;Recado
KP66;QC1304;361435;177556;30/04/2024;Não atende
KF86;OA308;391865;177557;30/04/2024;Retorno
M322;Q2221;403425;162274;30/04/2024;Direcionado ao SAC - Duvidas
KZ22;AA212;403274;177587;30/04/2024;Financiamento - Em Tratativa
KZ22;HA201;403327;178172;30/04/2024;Em dia
KZ22;Z201;403438;177573;30/04/2024;Em dia
LA36;U417;385647;177799;30/04/2024;Recado
LA36;U416;385647;177798;30/04/2024;Recado
KZ22;IA203;403489;177638;30/04/2024;Em dia
LD16;U515;403517;181204;30/04/2024;Pago / Em dia
KD82;G05;403530;177650;30/04/2024;Pagamento parcial
KZ22;FA202;77649;177624;30/04/2024;Não atende
M092;X03;347337;176412;30/04/2024;Não atende
KZ22;GA207;403270;177695;30/04/2024;Recado
KZ22;HA215;403413;177629;30/04/2024;Financiamento - Em Tratativa
KZ22;BA205;403471;177723;30/04/2024;Alega pagamento
KZ22;FA207;403476;177708;30/04/2024;Pago / Em dia
KF22;L208;403491;177707;30/04/2024;Financiamento - Em Tratativa
KZ22;EA205;403522;177733;30/04/2024;Preventivo de Acordo/Promessa
KD26;CA207;403613;177698;30/04/2024;Em Negociação
M916;AA103;403451;177696;30/04/2024;Financiamento - Em Tratativa
LA36;T429;403777;177941;30/04/2024;Não atende
LF96;Y506;403781;183874;30/04/2024;Pago / Em dia
LF96;Y507;403781;183720;30/04/2024;Pago / Em dia
LA36;T405;403783;177899;30/04/2024;Não atende
LA36;T406;403787;177897;30/04/2024;Promessa de pagamento
LA36;G422;403789;177990;30/04/2024;Pago / Em dia
LA36;K429;403802;177866;30/04/2024;Pago / Em dia
LA36;R424;403809;177761;30/04/2024;Não atende
LA36;K423;403819;177865;30/04/2024;Pago / Em dia
LE56;MU0405;403824;182546;30/04/2024;Pago / Em dia
LF96;U507;403824;183576;30/04/2024;Pago / Em dia
LA36;F408;403828;177859;30/04/2024;Promessa de pagamento
LA36;D424;403830;178006;30/04/2024;Não atende
LA36;G417;403855;177858;30/04/2024;Financiamento - Em Tratativa
LA36;D428;403870;177886;30/04/2024;Recado
LA36;G418;403877;177984;30/04/2024;Financiamento - Em Tratativa
LA36;T410;403886;177881;30/04/2024;Pago / Em dia
LA36;G427;403889;178005;30/04/2024;Financiamento - Em Tratativa
LA36;K409;403890;177880;30/04/2024;Em dia
LA36;K410;403890;177879;30/04/2024;Em dia
LA36;T409;403894;177812;30/04/2024;Financiamento - Em Tratativa
LA36;Q428;403902;177875;30/04/2024;Pago / Em dia
LA36;I414;403914;177839;30/04/2024;Preventivo de Acordo/Promessa
LA36;F406;403925;177802;30/04/2024;Pago / Em dia
LA36;T403;403936;178052;30/04/2024;Promessa de pagamento
LA36;T404;403936;178269;30/04/2024;Promessa de pagamento
LA36;T402;403936;177871;30/04/2024;Pago / Em dia
LA36;D420;403940;177975;30/04/2024;Em dia
LD16;H508;403951;183062;30/04/2024;Não atende/Enviado whatsapp
LA36;M410;403958;177849;30/04/2024;Pago / Em dia
LA36;C416;403964;177969;30/04/2024;Em dia
LA36;B405;403966;177987;30/04/2024;Promessa de pagamento
LA36;P410;403974;178002;30/04/2024;Pago / Em dia
LA36;H407;403980;177832;30/04/2024;Financiamento bancario
LA36;D403;403987;177827;30/04/2024;Pago / Em dia
LA36;D409;403989;177765;30/04/2024;Financiamento - Sem interesse
LA36;Q420;403994;177885;30/04/2024;Recado
LA36;Q422;403994;177823;30/04/2024;Recado
LA36;Q421;403994;177828;30/04/2024;Recado
LA36;N415;403811;178055;30/04/2024;Pago / Em dia
LA36;J407;403815;178077;30/04/2024;Promessa de pagamento
LA36;S416;403817;178016;30/04/2024;Promessa parcial
LA36;T401;403829;178030;30/04/2024;Promessa de pagamento
LA36;M414;403832;178074;30/04/2024;Pago / Em dia
LA36;U407;403835;178070;30/04/2024;Pago / Em dia
LA36;K426;403845;178069;30/04/2024;Financiamento bancario
LA36;D401;403854;178071;30/04/2024;Promessa de pagamento
LA36;D402;403854;178281;30/04/2024;Promessa de pagamento
LA36;K404;403865;178031;30/04/2024;Não atende
LA36;I412;403875;178047;30/04/2024;Alega pagamento
LA36;P401;403879;178067;30/04/2024;Promessa de pagamento
LA36;D426;403895;178028;30/04/2024;Promessa de pagamento
LA36;N418;403907;178059;30/04/2024;Sem acordo
LA36;P402;403911;178061;30/04/2024;Pago / Em dia
LA36;C415;403942;178008;30/04/2024;Pago / Em dia
LA36;P418;403949;178054;30/04/2024;Em dia
LA36;M418;403973;178156;30/04/2024;Retorno
LA36;M417;403973;178112;30/04/2024;Retorno
LA36;I403;404047;178042;30/04/2024;Preventivo de Acordo/Promessa
LA36;Q423;404053;178057;30/04/2024;Financiamento - Em Tratativa
LA36;S412;404158;178021;30/04/2024;Alega pagamento
LA36;J422;404297;178097;30/04/2024;Não atende
LA36;Q408;404299;178098;30/04/2024;Pago / Em dia
LA36;N404;404347;178094;30/04/2024;Sem acordo
LA36;G426;404349;178023;30/04/2024;Direcionado ao SAC - Duvidas
KD26;W202;404366;178764;30/04/2024;Promessa de pagamento
LA36;B412;404366;178108;30/04/2024;Pago / Em dia
KZ22;BA208;86024;178051;30/04/2024;Pago / Em dia
KZ22;AA203;403329;178050;30/04/2024;Recado
KZ22;AA215;86346;178141;30/04/2024;Preventivo de Acordo/Promessa
LA36;F403;299991;178123;30/04/2024;Retorno
LA36;J430;300620;178122;30/04/2024;Retorno
LA36;I411;359398;178137;30/04/2024;Não atende
KF22;B201;391886;178142;30/04/2024;Não atende
LA36;M423;403826;178262;30/04/2024;Direcionado ao SAC - Duvidas
LA36;K413;403834;178253;30/04/2024;Pago / Em dia
LA36;K406;403937;178250;30/04/2024;Promessa de pagamento
LA36;K405;403937;178251;30/04/2024;Promessa de pagamento
K19X;Y13;404445;178243;30/04/2024;Pago / Em dia
LA36;F417;358898;178335;30/04/2024;Pago / Em dia
KZ22;IA205;403387;178275;30/04/2024;Direcionado ao SAC - Duvidas
KZ22;FA210;404230;178278;30/04/2024;Financiamento - Em Tratativa
KJ82;Q0601;404414;178289;30/04/2024;Financiamento - Em Tratativa
KJ82;Q0436;404454;178288;30/04/2024;Não atende/Enviado whatsapp
LA92;C116;386576;180830;30/04/2024;Financiamento - Sem interesse
LA36;P419;403703;178336;30/04/2024;Preventivo de Acordo/Promessa
KP66;QC0913;404075;178304;30/04/2024;Promessa de pagamento
KP66;QC0914;404075;178303;30/04/2024;Promessa de pagamento
KJ82;Q1317;404426;178331;30/04/2024;Não atende/Enviado whatsapp
KJ82;Q0507;404443;178326;30/04/2024;Financiamento - Em Tratativa
KJ82;Q0541;404477;178330;30/04/2024;Financiamento - Sem interesse
KJ82;Q0505;404481;178334;30/04/2024;Financiamento - Em Tratativa
KJ82;Q1114;404536;178340;30/04/2024;Pago / Em dia
KJ82;Q0909;404618;178323;30/04/2024;Financiamento - Em Tratativa
KJ82;Q1015;404630;178319;30/04/2024;Não atende
KJ82;Q0310;405275;178309;30/04/2024;Financiamento - Sem interesse
KJ82;Q0417;405283;178337;30/04/2024;Financiamento - Em Tratativa
KJ82;Q0910;405289;178310;30/04/2024;Direcionado ao SAC - Duvidas
KJ82;Q0625;405291;178311;30/04/2024;Alega pagamento
KJ82;Q0937;405405;178307;30/04/2024;Pago / Em dia
KJ82;Q0921;405431;178306;30/04/2024;Financiamento - Em Tratativa
LA36;N422;405038;178370;30/04/2024;Promessa de pagamento
KJ82;Q1118;405051;178409;30/04/2024;Promessa de pagamento
KJ82;Q0308;405253;178432;30/04/2024;Promessa de pagamento
KJ82;Q0309;405253;178388;30/04/2024;Promessa parcial
KJ82;Q0332;405256;178414;30/04/2024;Pago / Em dia
KJ82;Q0333;405256;178413;30/04/2024;Pago / Em dia
KJ82;Q0718;405259;178386;30/04/2024;Pago / Em dia
KJ82;Q0414;405292;178389;30/04/2024;Financiamento - Sem interesse
KJ82;Q0928;405295;178440;30/04/2024;Financiamento - Em Tratativa
KJ82;Q1316;405296;178372;30/04/2024;Não atende
KJ82;Q0915;405407;178384;30/04/2024;Não atende
KJ82;Q1030;405413;178373;30/04/2024;Financiamento - Não atende
KJ82;Q0722;405450;178438;30/04/2024;Pago / Em dia
LA36;Q405;405879;178395;30/04/2024;Pago / Em dia
KZ22;JA207;16637;178474;30/04/2024;Preventivo de Acordo/Promessa
KJ82;Q0511;195522;178536;30/04/2024;Financiamento bancario
LA36;F401;275827;178495;30/04/2024;Não atende
LA36;L416;404000;178505;30/04/2024;Financiamento - Em Tratativa
KJ82;Q1220;404384;178515;30/04/2024;Pago / Em dia
M322;Q0608;404409;182092;30/04/2024;Recado
KJ82;Q0707;404433;178494;30/04/2024;Não atende
KJ82;Q0506;404439;178530;30/04/2024;Financiamento - Possui Interesse
KJ82;Q0320;404461;178565;30/04/2024;Pago / Em dia
KJ82;Q1017;404475;178564;30/04/2024;Financiamento - Sem interesse
KJ82;Q0822;404490;178482;30/04/2024;Financiamento - Em Tratativa
KJ82;Q0102;404492;178509;30/04/2024;Pago / Em dia
KJ82;Q0406;404496;178510;30/04/2024;Recado
KJ82;Q1010;404530;178527;30/04/2024;Pago / Em dia
KJ82;Q1121;404548;178562;30/04/2024;Promessa de pagamento
KJ82;Q0331;404552;178560;30/04/2024;Aguardando Termo de Revenda
KJ82;Q0313;404574;178553;30/04/2024;Pago / Em dia
KJ82;Q0337;404581;178531;30/04/2024;Pago / Em dia
KJ82;Q0428;404590;178579;30/04/2024;Pago / Em dia
KJ82;Q0427;404590;178580;30/04/2024;Pago / Em dia
LA36;U411;405696;178614;30/04/2024;Pago / Em dia
LF96;EA504;405696;183837;30/04/2024;Pago / Em dia
LD16;P511;405696;181044;30/04/2024;Retorno
LE56;MU0105;405696;182523;30/04/2024;Pago / Em dia
KD82;K13;405894;178613;30/04/2024;Financiamento - Em Tratativa
KJ82;Q0218;405954;178622;30/04/2024;Não atende
KJ82;Q1313;405966;178625;30/04/2024;Financiamento - Em Tratativa
M092;AQ17;405999;166414;30/04/2024;Pago / Em dia
LA36;R409;404287;178631;30/04/2024;Promessa de pagamento
KJ82;Q0821;404451;178646;30/04/2024;Pago / Em dia
KJ82;Q0938;404529;178526;30/04/2024;Pago / Em dia
KJ82;Q0528;404958;178637;30/04/2024;Financiamento - Finalizado
KJ82;Q1115;405416;178648;30/04/2024;Financiamento - Não atende
KJ82;Q1026;405445;178659;30/04/2024;Financiamento - Não atende
KJ82;Q1125;405445;178658;30/04/2024;Financiamento - Não atende
LA36;J404;406009;178660;30/04/2024;Pago / Em dia
KJ82;Q0920;406010;178644;30/04/2024;Promessa de pagamento
KJ82;Q0532;406013;178639;30/04/2024;Direcionado ao SAC - Duvidas
KJ82;Q0536;406020;178633;30/04/2024;Financiamento - Finalizado
KK22;Q108;406064;178657;30/04/2024;Retorno
KJ82;Q0926;404514;178664;30/04/2024;Financiamento - Em Tratativa
KD82;Y18;406040;178662;30/04/2024;Financiamento - Não atende
LB62;R217;406040;181944;30/04/2024;Financiamento - Não atende
KJ82;Q0717;406190;178748;30/04/2024;Financiamento - Em Tratativa
LA36;S406;361277;178778;30/04/2024;Retorno
KD82;U02;406117;178772;30/04/2024;Financiamento - Em Tratativa
LA36;F402;406123;178798;30/04/2024;Recado
LA36;B415;406196;178795;30/04/2024;Pago / Em dia
KD82;Y12;406297;178792;30/04/2024;Não atende
KD82;N02;406311;178777;30/04/2024;Retorno
LA36;K411;406327;178827;30/04/2024;Retorno
KT32;Z505;406352;178797;30/04/2024;Promessa de pagamento
KZ22;FA204;406484;178896;30/04/2024;Pago / Em dia
K19X;P17;406486;178963;30/04/2024;Não atende
KJ82;Q1011;406512;178945;30/04/2024;Bloqueio de cobrança Ausa
KJ82;Q1012;406512;178944;30/04/2024;Bloqueio de cobrança Ausa
KD82;U08;406517;178943;30/04/2024;Não atende
KK22;E117;406524;164082;30/04/2024;Financiamento - Sem interesse
KZ22;GA205;406531;178895;30/04/2024;Pago / Em dia
KT32;G518;406544;178893;30/04/2024;Pago / Em dia
LB22;AJ312;406641;182393;30/04/2024;Financiamento - Desistiu do financiamento
KD82;C06;406643;178974;30/04/2024;Pago / Em dia
KJ62;C213;46076;178902;30/04/2024;Pago / Em dia
M192;CO301;362818;178993;30/04/2024;Pago / Em dia
M192;CO402;362818;179117;30/04/2024;Pago / Em dia
KN06;L508;406786;167354;30/04/2024;Não atende
KT16;X406;406832;171157;30/04/2024;Financiamento - Em Tratativa
LB62;D215;406839;182500;30/04/2024;Pago / Em dia
KQ12;S06;406858;179185;30/04/2024;Financiamento - Em Tratativa
KQ12;X03;406859;179186;30/04/2024;Pago / Em dia
KQ12;X02;406859;179187;30/04/2024;Pago / Em dia
KF22;A206;406887;179111;30/04/2024;Não atende
KF22;J225;406887;179101;30/04/2024;Não atende
M330;J20;406892;173348;30/04/2024;Bloqueio de cobrança Ausa
K232;A063;406897;153117;30/04/2024;Recado
KF22;G203;406898;179113;30/04/2024;Pago / Em dia
KD82;M01;406899;179191;30/04/2024;Promessa de pagamento
KJ82;Q0535;406914;179289;30/04/2024;Preventivo de Acordo/Promessa
KK22;AA114;406919;175109;30/04/2024;Financiamento bancario
KQ12;A03;406947;179240;30/04/2024;Pago / Em dia
KQ12;A04;406953;179379;30/04/2024;Pago / Em dia
KQ12;T16;406964;179153;30/04/2024;Financiamento - Em Tratativa
KQ12;D09;406965;179234;30/04/2024;Financiamento - Em Tratativa
LA8X;AP13;406965;183428;30/04/2024;Financiamento - Em Tratativa
KQ12;V13;406969;179235;30/04/2024;Em Negociação
KQ12;D03;406972;179280;30/04/2024;Aguardando Pagamento
L73X;330177;406984;81248;30/04/2024;Não atende
KQ12;M06;406994;179297;30/04/2024;Pago / Em dia
KQ12;U06;407004;179227;30/04/2024;Pago / Em dia
KQ12;U07;407011;179333;30/04/2024;Não atende
KQ12;C06;407013;179151;30/04/2024;Financiamento - Em Tratativa
KQ12;V15;407015;179214;30/04/2024;Não atende
KQ12;R03;407021;179231;30/04/2024;Financiamento - Em Tratativa
KQ12;X05;407187;179202;30/04/2024;Financiamento - Em Tratativa
KQ12;L03;407193;179109;30/04/2024;Direcionado ao SAC - Duvidas
KQ12;C03;407202;179295;30/04/2024;Financiamento - Em Tratativa
KQ12;V22;407215;179127;30/04/2024;Financiamento - Em Tratativa
KQ12;J05;407217;179282;30/04/2024;Promessa de pagamento
KQ12;I01;407218;179200;30/04/2024;Preventivo de Acordo/Promessa
KQ12;A14;407221;179299;30/04/2024;Financiamento - Em Tratativa
KQ12;Q12;407227;179380;30/04/2024;Pago / Em dia
KQ12;Q11;407227;179293;30/04/2024;Pago / Em dia
KQ12;A01;407239;179284;30/04/2024;Não atende
KQ12;A02;407239;179198;30/04/2024;Não atende
KQ12;H02;407240;179199;30/04/2024;Pago / Em dia
KQ12;S20;407249;179369;30/04/2024;Financiamento - Em Tratativa
KQ12;T03;407264;179384;30/04/2024;Não atende
KQ12;P11;407266;179314;30/04/2024;Financiamento - Em Tratativa
KQ12;P10;407266;179342;30/04/2024;Financiamento - Em Tratativa
KQ12;A06;407281;179264;30/04/2024;Não atende
KQ12;E08;407308;179311;30/04/2024;Financiamento - Em Tratativa
KQ12;I09;407308;179310;30/04/2024;Financiamento - Em Tratativa
KQ12;W07;407314;179217;30/04/2024;Pago / Em dia
KD82;Q16;407330;179393;30/04/2024;Preventivo de Acordo/Promessa
KQ12;O13;407366;179382;30/04/2024;Financiamento - Sem interesse
KF22;D203;407381;179305;30/04/2024;Financiamento - Em Tratativa
KN06;M507;407383;169903;30/04/2024;Financiamento - Sem interesse
KF22;D204;407390;179331;30/04/2024;Promessa de pagamento
KD82;T03;407393;179327;30/04/2024;Retorno
KT16;O424;407404;172954;30/04/2024;Financiamento bancario
K19X;E18;407412;179429;30/04/2024;Pago / Em dia
KF22;E205;407561;179515;30/04/2024;Recado
KF22;E206;407561;179514;30/04/2024;Recado
KQ12;T08;407581;179511;30/04/2024;Pago / Em dia
KQ12;T09;407581;179510;30/04/2024;Pago / Em dia
KQ12;E12;407583;179517;30/04/2024;Pago / Em dia
KD82;K24;407606;179525;30/04/2024;Pago / Em dia
KF86;I316;407608;179842;30/04/2024;Recado
M916;PA120;407608;179518;30/04/2024;Recado
KD82;R22;407638;179549;30/04/2024;Não atende
LB62;K216;407638;182097;30/04/2024;Não atende
