Divisão;Unidade;Código Cliente;Projeto Financeiro;Mês base;Score
K232;E1004;306523;131660;01/04/2024;Não - >5Anos
K232;E1006;306528;131664;01/04/2024;Não - >5Anos
K232;E1016;252975;183886;01/04/2024;Não - <60 dias
K232;F1015;306999;132071;01/04/2024;Não - <60 dias
K232;H009;306062;131287;01/04/2024;Não - <60 dias
K232;I016;349378;115091;01/04/2024;Não - Em Processamento
K232;K059;226820;183970;01/04/2024;Não - <60 dias
K232;K060;225129;68938;01/04/2024;Não - <60 dias
K232;K069;145140;183635;01/04/2024;Não - <60 dias
K232;M003;305806;131061;01/04/2024;Sim
K232;Q009;358214;172251;01/04/2024;Sim
K232;R022;225734;69936;01/04/2024;Sim
K232;U016;429352;183372;01/04/2024;Não - <60 dias
K232;U027;345049;163557;01/04/2024;Não - Liminar de Cobrança
K232;U040;345768;164106;01/04/2024;Não - <60 dias
K232;U053;334353;154815;01/04/2024;Sim
K232;U065;345759;164096;01/04/2024;Não - <60 dias
K232;U080;345332;163772;01/04/2024;Não - <60 dias
K32X;12B03;87111;20477;01/04/2024;Sim
K32X;28B10;87322;20631;01/04/2024;Sim
K862;H10;356870;171197;01/04/2024;Não - <60 dias
K862;O24;277075;108649;01/04/2024;Não - <60 dias
K872;B14;344826;163416;01/04/2024;Não - <60 dias
K872;B20;359064;172834;01/04/2024;Não - <60 dias
K872;H13;277648;109075;01/04/2024;Sim
K872;K11;346360;164537;01/04/2024;Não - <60 dias
K872;K14;362424;172727;01/04/2024;Não - <60 dias
K97X;Q1310;391877;167481;01/04/2024;Não - <60 dias
K97X;Q1703;198282;48739;01/04/2024;Não - <60 dias
KD26;A202;351726;168136;01/04/2024;Sim
KD26;AA202;302629;128453;01/04/2024;Não - <60 dias
KD26;B209;298365;124782;01/04/2024;Não - <60 dias
KD26;B216;406180;125009;01/04/2024;Não - <60 dias
KD26;BA211;300118;126325;01/04/2024;Não - <60 dias
KD26;BA220;325990;147789;01/04/2024;Não - <60 dias
KD26;BA225;342495;161445;01/04/2024;Não - <60 dias
KD26;C212;427231;182913;01/04/2024;Não - <60 dias
KD26;C216;403466;177635;01/04/2024;Não - <60 dias
KD26;CA203;349831;167002;01/04/2024;Sim
KD26;CA207;403613;177698;01/04/2024;Sim
KD26;D204;347434;125077;01/04/2024;Não - <60 dias
KD26;D210;361352;177165;01/04/2024;Não - <60 dias
KD26;D221;345316;163757;01/04/2024;Sim
KD26;DA213;298149;124647;01/04/2024;Não - <60 dias
KD26;E201;426439;182508;01/04/2024;Não - <60 dias
KD26;E203;350821;167637;01/04/2024;Não - <60 dias
KD26;E213;348237;166004;01/04/2024;Não - Em Processamento
KD26;E222;297958;124516;01/04/2024;Não - <60 dias
KD26;E231;353151;169219;01/04/2024;Não - <60 dias
KD26;E232;361749;182596;01/04/2024;Não - <60 dias
KD26;F203;299851;126086;01/04/2024;Não - <60 dias
KD26;F206;407876;179695;01/04/2024;Não - <60 dias
KD26;F221;359533;173063;01/04/2024;Sim
KD26;F225;349036;166550;01/04/2024;Não - <60 dias
KD26;G221;409159;126639;01/04/2024;Não - Registro Ar - Endereco Insuficiente
KD26;G228;406817;179055;01/04/2024;Não - <60 dias
KD26;H209;391710;177032;01/04/2024;Não - <60 dias
KD26;H210;423105;177585;01/04/2024;Não - <60 dias
KD26;I201;384461;175538;01/04/2024;Não - Registro Ar - Endereco Insuficiente
KD26;I212;60351;163749;01/04/2024;Não - <60 dias
KD26;J215;344733;125426;01/04/2024;Não - <60 dias
KD26;J220;336581;156611;01/04/2024;Não - <60 dias
KD26;J222;78005;182736;01/04/2024;Não - <60 dias
KD26;K213;362632;177476;01/04/2024;Não - <60 dias
