Divisao;Unidade;Código Cliente;Projeto Financeiro;Mês base
M462;U01;291493;;01/05/2018
M982;X217;312029;;01/05/2018
M162;M02;250074;;01/05/2018
M562;R120;345162;;01/05/2018
M512;E102;282874;;01/05/2018
M562;U110;333209;;01/05/2018
M562;N102;299670;;01/05/2018
M562;N101;299670;;01/05/2018
M622;J02;341680;;01/05/2018
M622;J01;341680;;01/05/2018
M162;C21;252724;;01/05/2018
M162;C20;252724;;01/05/2018
M982;B105;310907;;01/05/2018
M982;L210;310531;;01/05/2018
M982;O113;310531;;01/05/2018
M252;Q2008;326643;;01/05/2018
L992;E20;348419;;01/05/2018
KA02;H126;299269;;01/05/2018
M482;G119;287469;;01/06/2018
M562;D112;313614;;01/06/2018
M982;Q221;311041;;01/06/2018
M562;Z136;312490;;01/06/2018
M612;W106;10818;;01/06/2018
KB82;K414;324167;;01/06/2018
KF02;C320;318815;;01/06/2018
M172;J118;295651;;01/06/2018
M172;C01102;295651;;01/06/2018
K20X;A103;65941;;01/06/2018
M512;S101;282640;;01/06/2018
M252;Q1828;324432;;01/06/2018
M562;Q110;345138;;01/06/2018
K73X;K19;196890;;01/06/2018
M982;C121;311442;;01/06/2018
KF02;A305;318732;;01/06/2018
L992;O18;345432;;01/06/2018
M982;E131;310515;;01/06/2018
M412;T02;251462;;01/06/2018
K272;Y05;229146;;01/07/2018
M982;G115;312884;;01/07/2018
M982;O209;312884;;01/07/2018
M982;N118;311806;;01/07/2018
M982;D125;311293;;01/07/2018
M512;J119;324041;;01/07/2018
M982;D118;312313;;01/07/2018
M482;S124;287644;;01/07/2018
K60X;C204;246570;;01/07/2018
M982;E206;311857;;01/07/2018
KB82;F401;326303;;01/07/2018
KA02;A103;298079;;01/07/2018
M982;D215;311288;;01/07/2018
M162;R21;338955;;01/07/2018
KA02;C148;298131;;01/07/2018
M512;N101;303648;;01/07/2018
M562;D101;300171;;01/07/2018
M562;D102;300171;;01/07/2018
M722;K02;325119;;01/07/2018
L32X;B724;176494;;01/07/2018
M622;R07;265107;;01/08/2018
M032;AB09;276363;;01/08/2018
L902;F06;345230;;01/08/2018
K272;L23;349021;;01/08/2018
KF02;C319;335413;;01/08/2018
KF02;D317;335413;;01/08/2018
KA02;D142;298436;;01/08/2018
M982;N117;346129;;01/08/2018
M512;X115;282841;;01/08/2018
L36X;E06;334919;;01/08/2018
KB82;M414;326797;;01/08/2018
KA02;V106;335862;;01/09/2018
M512;D103;282668;;01/09/2018
M482;U103;286878;;01/09/2018
M982;G101;310542;;01/09/2018
M982;G102;310542;;01/09/2018
M252;Q2009;320036;;01/09/2018
KA02;X101;300072;;01/09/2018
KA02;D152;298825;;01/09/2018
M252;Q1706;344090;;01/09/2018
M562;A122;322664;;01/09/2018
M982;A234;310452;;01/09/2018
M982;D207;310452;;01/09/2018
KA02;B108;326149;;01/10/2018
M512;S116;313351;;01/10/2018
M982;P221;311952;;01/10/2018
M982;B140;311842;;01/11/2018
M612;AG116;323070;;01/11/2018
L32X;B921;259475;;01/11/2018
M512;X105;345907;;01/11/2018
K242;S18;345408;;01/11/2018
M982;Q114;313292;;01/11/2018
L992;E05;293203;;01/11/2018
M982;M246;311468;;01/11/2018
M482;R127;288640;;01/11/2018
KF02;C307;318762;;01/11/2018
KA02;K155;321683;;01/11/2018
KA02;K134;321683;;01/11/2018
KA02;A107;298084;;01/12/2018
KA02;Y109;344644;;01/12/2018
KA02;Z132;332253;;01/12/2018
M562;N115;299318;;01/12/2018
M562;N116;299318;;01/12/2018
M612;AB121;284898;;01/12/2018
M722;AB12;279341;;01/01/2019
KB82;B425;342886;;01/01/2019
M482;L116;287931;;01/01/2019
M012;O318;259056;;01/01/2019
K242;R01;304353;;01/01/2019
K242;R23;304353;;01/01/2019
K98X;L226;272952;;01/01/2019
L32X;B205;346411;;01/01/2019
M982;D131;311279;;01/01/2019
KF02;A304;333578;;01/01/2019
M612;P122;246287;;01/02/2019
K672;K09;252396;;01/02/2019
K272;AB19;324643;;01/02/2019
M482;V112;288556;;01/02/2019
K98X;E233;316754;;01/02/2019
L992;I15;326201;;01/02/2019
KA02;K115;344607;;01/02/2019
KB82;E406;342016;;01/02/2019
KB82;N442;326782;;01/04/2019
K19X;C03;191391;;01/08/2015
M762;C104;292412;;01/08/2015
M632;Q0112;289155;;01/08/2015
L242;L08;244102;;01/09/2015
L242;L09;244102;;01/09/2015
L47X;I103;255340;;01/09/2015
L242;T09;244905;;01/09/2015
M692;AL10;267157;;01/09/2015
M330;E01;240913;;01/09/2015
K19X;A17;212935;;01/09/2015
M330;D09;240885;;01/09/2015
L242;S04;244837;;01/09/2015
M522;14A06;281611;;01/09/2015
L242;I10;273646;;01/09/2015
M082;C08;275939;;01/09/2015
M092;X03;250489;;01/09/2015
M092;X04;250489;;01/09/2015
M092;X05;250489;;01/09/2015
M762;V112;293376;;01/10/2015
L242;K25;303747;;01/10/2015
L110;O205;67222;;01/10/2015
M152;AA302;67222;;01/10/2015
M152;F306;67222;;01/10/2015
L242;L06;243879;;01/10/2015
L242;K08;243879;;01/10/2015
L110;O203;80754;;01/11/2015
K19X;E03;159427;;01/11/2015
M692;AI06;265785;;01/12/2015
M522;13A12;305933;;01/12/2015
K19X;K07;159584;;01/12/2015
K19X;H05;264755;;01/12/2015
K19X;D14;159357;;01/01/2016
K19X;X05;159357;;01/01/2016
M822;K412;293949;;01/01/2016
M192;E115;273149;;01/01/2016
L47X;G124;237774;;01/01/2016
M692;K09;259272;;01/02/2016
M692;T18;317431;;01/02/2016
K19X;X02;159394;;01/02/2016
M330;A02;240911;;01/02/2016
M692;X01;294433;;01/02/2016
M822;C0815;278701;;01/02/2016
M762;E107;292420;;01/02/2016
L242;O05;243892;;01/02/2016
L242;O04;243892;;01/02/2016
L242;Q31;266012;;01/02/2016
K232;C017;225695;;01/02/2016
M692;Q04;301675;;01/02/2016
M092;K11;281935;;01/02/2016
M092;P14;263705;;01/02/2016
M692;AI03;294472;;01/02/2016
M762;V116;292841;;01/02/2016
K232;K045;225529;;01/03/2016
M762;W111;293542;;01/03/2016
K232;K098;300056;;01/03/2016
M692;P19;270645;;01/03/2016
M082;N01;257880;;01/03/2016
K232;Z003;225512;;01/03/2016
M762;H122;293380;;01/03/2016
K19X;G15;159931;;01/03/2016
M082;H18;290319;;01/04/2016
M692;AI08;266488;;01/04/2016
M692;T11;294719;;01/04/2016
M152;AE303;244226;;01/04/2016
L220;Q09;279324;;01/04/2016
K232;B003;250598;;01/04/2016
K232;S015;225665;;01/04/2016
M152;AB316;243746;;01/04/2016
M952;K106;296308;;01/04/2016
K232;Q009;226869;;01/04/2016
M692;AB08;309493;;01/04/2016
L47X;G122;232032;;01/04/2016
M692;AH12;284417;;01/04/2016
K232;O023;225720;;01/04/2016
M762;E124;292467;;01/04/2016
K232;X007;225431;;01/04/2016
K232;X006;225431;;01/04/2016
K232;X004;225431;;01/04/2016
K232;X003;225431;;01/04/2016
M822;Y401;292113;;01/04/2016
M692;W08;293646;;01/05/2016
M092;M04;264786;;01/05/2016
M092;AE01;247671;;01/05/2016
M092;AE02;247671;;01/05/2016
M692;I10;293721;;01/05/2016
M762;S104;292640;;01/05/2016
K19X;R16;54850;;01/05/2016
M762;T116;292667;;01/05/2016
M762;F109;292471;;01/05/2016
K232;A065;145140;;01/05/2016
M152;C0701;243765;;01/05/2016
M522;16A06;285538;;01/05/2016
M692;S17;286591;;01/05/2016
M762;G128;292704;;01/06/2016
M092;L06;265161;;01/06/2016
M692;AH14;264249;;01/06/2016
L242;R21;243999;;01/06/2016
M762;C123;293411;;01/06/2016
M692;AL03;291535;;01/06/2016
M762;T102;293931;;01/06/2016
M092;S06;266138;;01/06/2016
M092;AC24;265004;;01/06/2016
M692;E13;291832;;01/06/2016
M692;T13;295341;;01/06/2016
M092;U01;265102;;01/06/2016
M092;U02;265102;;01/06/2016
M692;U11;228416;;01/06/2016
M322;Q1502;251489;;01/06/2016
M752;A122;289745;;01/06/2016
K872;L09;278020;;01/06/2016
K872;B20;278020;;01/06/2016
L47X;F120;270536;;01/06/2016
M692;AA03;322033;;01/06/2016
M322;Q0623;251551;;01/06/2016
M322;Q1518;265660;;01/06/2016
M822;S407;297538;;01/06/2016
KD26;O219;298820;;01/06/2016
M692;AG16;263676;;01/06/2016
M692;S11;243826;;01/06/2016
M692;A08;264544;;01/06/2016
M692;U09;264396;;01/07/2016
KD26;N205;299006;;01/07/2016
M632;Q0404;304907;;01/07/2016
M322;Q0511;252347;;01/07/2016
M632;Q0403;304907;;01/07/2016
K19X;S24;233599;;01/07/2016
M192;P103;272637;;01/07/2016
M762;V124;293230;;01/07/2016
M692;G13;294201;;01/07/2016
M522;16A17;268592;;01/07/2016
K19X;E11;159636;;01/07/2016
K232;U039;226476;;01/07/2016
M082;E04;297873;;01/07/2016
M192;D106;273053;;01/07/2016
M916;HA107;278583;;01/07/2016
M522;28A03;280415;;01/07/2016
L220;D09;258724;;01/07/2016
M192;I109;272284;;01/07/2016
M092;F18;275204;;01/07/2016
M092;F19;275204;;01/07/2016
L242;K28;245495;;01/07/2016
M692;AD10;279378;;01/07/2016
M692;AK01;281243;;01/07/2016
L242;P24;248539;;01/07/2016
L242;S26;243995;;01/07/2016
M992;J234;313488;;01/08/2016
L130;Q3802;243594;;01/08/2016
KF12;Z317;252296;;01/08/2016
KF12;Z316;252296;;01/08/2016
M092;F17;275140;;01/08/2016
L47X;E129;267858;;01/08/2016
M192;B108;274582;;01/08/2016
K872;D03;276642;;01/08/2016
KD26;P224;300548;;01/08/2016
L47X;K108;145071;;01/08/2016
M952;J112;296295;;01/08/2016
M192;R109;309309;;01/08/2016
KD26;W204;279778;;01/08/2016
K232;E1007;302700;;01/08/2016
K232;K094;225701;;01/08/2016
M692;S20;287576;;01/08/2016
M632;Q1212;288885;;01/08/2016
M632;Q1211;288885;;01/08/2016
M152;Z315;245424;;01/09/2016
KD26;P208;298708;;01/09/2016
M092;AC34;290547;;01/09/2016
K872;F17;279348;;01/09/2016
M522;17A16;269020;;01/09/2016
M916;CA109;276026;;01/09/2016
M762;R129;118314;;01/09/2016
M330;I16;297896;;01/09/2016
M916;G109;275804;;01/09/2016
M992;K222;312973;;01/09/2016
M632;Q1208;290742;;01/09/2016
M952;D113;296367;;01/09/2016
M952;K124;296275;;01/09/2016
KF86;D326;308414;;01/09/2016
KF86;D327;308414;;01/09/2016
KF86;D328;308414;;01/09/2016
M322;Q0808;251221;;01/09/2016
M632;Q1404;317940;;01/09/2016
M916;CA111;277145;;01/09/2016
M916;CA110;277145;;01/09/2016
L73X;420584;199934;;01/09/2016
KF86;D309;308348;;01/09/2016
M692;Q01;315242;;01/09/2016
K862;J13;276880;;01/09/2016
M916;FA118;276551;;01/09/2016
M916;HA103;276353;;01/09/2016
M692;D01;304933;;01/09/2016
L242;J34;270627;;01/09/2016
M692;B15;293766;;01/09/2016
L242;J01;244003;;01/09/2016
L242;I17;245837;;01/09/2016
M152;L302;243689;;01/10/2016
KD26;M212;298590;;01/10/2016
M752;D129;290173;;01/10/2016
M752;D133;290173;;01/10/2016
M952;L102;296377;;01/10/2016
M092;Q06;263506;;01/10/2016
K232;K059;225129;;01/10/2016
K232;K060;225129;;01/10/2016
M992;N110;313491;;01/10/2016
M192;H113;272569;;01/10/2016
M322;Q1720;252467;;01/10/2016
M916;M122;277176;;01/10/2016
M992;G219;314592;;01/10/2016
M992;H220;313347;;01/10/2016
M992;G236;313240;;01/10/2016
M092;E08;276092;;01/10/2016
M522;7A12;291727;;01/10/2016
K232;I008;292637;;01/10/2016
M322;Q0535;252413;;01/10/2016
M916;JA106;302430;;01/10/2016
M752;L103;290330;;01/10/2016
M152;A301;290096;;01/10/2016
M762;B109;292911;;01/10/2016
M092;T03;268505;;01/10/2016
L220;J19;222824;;01/10/2016
M916;WA103;81966;;01/10/2016
M916;TA101;276335;;01/10/2016
M916;TA124;276335;;01/10/2016
M192;H106;273732;;01/10/2016
M752;G109;289833;;01/10/2016
M322;Q1103;196700;;01/10/2016
K97X;Q0807;196700;;01/10/2016
M992;D122;313009;;01/10/2016
M752;A123;289748;;01/10/2016
L220;B12;271748;;01/10/2016
L40X;16C06;291674;;01/10/2016
M692;H11;266563;;01/10/2016
M692;I04;326934;;01/10/2016
M692;AF10;284165;;01/10/2016
M692;R04;263704;;01/10/2016
M692;E17;294763;;01/10/2016
L242;G23;245481;;01/10/2016
M762;T106;292568;;01/10/2016
M762;T105;292568;;01/10/2016
M762;E123;292928;;01/10/2016
M762;A105;292901;;01/10/2016
M762;X105;292808;;01/10/2016
M762;Z109;292517;;01/10/2016
M752;B126;290165;;01/11/2016
KD26;W215;298600;;01/11/2016
K19X;B17;291591;;01/11/2016
K19X;B18;291591;;01/11/2016
M916;QA101;278221;;01/11/2016
KF86;FA303;321394;;01/11/2016
KD26;Q205;299379;;01/11/2016
M992;L118;312299;;01/11/2016
M092;S21;263581;;01/11/2016
M092;S22;263581;;01/11/2016
M330;L06;266803;;01/11/2016
M822;X404;277694;;01/11/2016
M752;N124;290359;;01/11/2016
M322;Q1802;296937;;01/11/2016
K232;I014;199601;;01/11/2016
L220;U03;214947;;01/11/2016
L242;I07;243766;;01/11/2016
M692;AB12;263651;;01/11/2016
M762;F111;292473;;01/11/2016
M762;G135;292903;;01/11/2016
M752;E127;290420;;01/12/2016
L47X;A103;285616;;01/12/2016
M422;L12;303554;;01/12/2016
M330;B08;315941;;01/12/2016
M092;C01;275023;;01/12/2016
M322;Q0412;250929;;01/12/2016
M992;H209;312870;;01/12/2016
M992;H208;312870;;01/12/2016
M916;O106;278093;;01/12/2016
M092;A24;275021;;01/12/2016
M322;Q1712;264519;;01/12/2016
M092;E12;277981;;01/12/2016
M092;I20;277981;;01/12/2016
M092;A20;277981;;01/12/2016
M092;A21;277981;;01/12/2016
M916;FA122;275533;;01/12/2016
L220;L04;237819;;01/12/2016
M632;Q1803;193941;;01/12/2016
M322;Q0923;251200;;01/12/2016
M322;Q1427;252252;;01/12/2016
M632;Q0217;291206;;01/12/2016
L220;D10;266311;;01/12/2016
M632;Q1606;320493;;01/12/2016
M322;Q2217;251841;;01/12/2016
M322;Q2023;251098;;01/12/2016
L73X;330344;325592;;01/12/2016
L242;J08;305484;;01/12/2016
M762;S101;322795;;01/12/2016
M322;Q1922;297588;;01/01/2017
M916;TA121;295280;;01/01/2017
L73X;440220;243274;;01/01/2017
M916;JA111;275889;;01/01/2017
M192;E116;281239;;01/01/2017
M916;TA104;319020;;01/01/2017
M916;XA116;299725;;01/01/2017
M916;D112;275737;;01/01/2017
M916;U115;275737;;01/01/2017
M916;U111;275737;;01/01/2017
M916;U116;275737;;01/01/2017
M632;Q1004;320489;;01/01/2017
M632;Q1003;320489;;01/01/2017
M916;XA117;299873;;01/01/2017
M916;MA102;320329;;01/01/2017
L242;I37;244199;;01/01/2017
M082;O05;292117;;01/02/2017
M322;Q1029;251421;;01/02/2017
M632;Q1005;320337;;01/02/2017
L220;B17;294235;;01/02/2017
M822;X409;243533;;01/02/2017
M752;O141;290566;;01/02/2017
M916;GA125;277675;;01/02/2017
M692;N01;302864;;01/02/2017
M692;O07;305256;;01/02/2017
M692;T09;293373;;01/02/2017
L242;Q03;243887;;01/02/2017
M692;U14;293835;;01/02/2017
M762;B123;292875;;01/02/2017
M762;T123;292681;;01/02/2017
M082;A34;295320;;01/03/2017
M992;I202;312438;;01/03/2017
M092;J01;263564;;01/03/2017
M092;AC10;263564;;01/03/2017
M092;AC11;263564;;01/03/2017
M692;N17;307870;;01/03/2017
L242;Q32;245488;;01/03/2017
M692;J04;324156;;01/03/2017
L242;K21;267087;;01/03/2017
M692;I02;325803;;01/03/2017
M692;G04;326143;;01/03/2017
L242;I19;244116;;01/03/2017
L242;P34;331608;;01/03/2017
M692;P13;264472;;01/03/2017
M692;AL08;294379;;01/03/2017
M692;P16;243830;;01/03/2017
M762;H120;293119;;01/03/2017
M762;X109;292968;;01/03/2017
M762;S105;292548;;01/03/2017
L242;I13;285225;;01/03/2017
M422;A05;273270;;01/04/2017
KF86;GA325;308486;;01/04/2017
M632;Q0518;288903;;01/04/2017
M916;G110;275803;;01/04/2017
M092;G08;276004;;01/04/2017
M092;C17;284686;;01/04/2017
KD26;X220;300161;;01/04/2017
M632;Q1516;288978;;01/04/2017
M952;G108;296371;;01/04/2017
M192;H115;272570;;01/04/2017
M192;H116;272570;;01/04/2017
KF86;I306;308250;;01/04/2017
KF86;O314;313656;;01/04/2017
M322;Q0918;253370;;01/04/2017
M192;U125;322181;;01/04/2017
KF86;PA320;308429;;01/04/2017
KF86;PA321;308429;;01/04/2017
M692;P05;307172;;01/04/2017
M762;I118;292547;;01/04/2017
M762;G116;292846;;01/04/2017
M692;AF05;294410;;01/04/2017
M692;AB02;320655;;01/04/2017
M916;EA116;301092;;01/05/2017
M916;EA117;277819;;01/05/2017
M192;O107;274357;;01/05/2017
M916;V107;275884;;01/05/2017
M916;LA105;276368;;01/05/2017
M152;R319;67961;;01/05/2017
M152;C0615;67961;;01/05/2017
M192;F121;301830;;01/05/2017
M192;F122;301830;;01/05/2017
M822;A404;277843;;01/05/2017
M992;A211;312653;;01/05/2017
M992;I227;312653;;01/05/2017
M192;W109;311383;;01/05/2017
M692;V05;317146;;01/05/2017
L242;T08;244555;;01/05/2017
M692;Z07;317148;;01/05/2017
M762;E119;292460;;01/05/2017
M762;G102;253904;;01/05/2017
M762;AA115;322592;;01/05/2017
M762;U114;131285;;01/05/2017
M762;Y104;292938;;01/05/2017
M762;Z103;292513;;01/05/2017
M762;AA117;292543;;01/05/2017
M762;R104;246042;;01/05/2017
M822;W415;276907;;01/06/2017
M916;P111;305193;;01/06/2017
M992;D202;313192;;01/06/2017
M916;L113;275527;;01/06/2017
M422;K06;272860;;01/06/2017
M916;V114;310472;;01/06/2017
M952;A114;297291;;01/06/2017
KD26;F224;298851;;01/06/2017
M992;G209;314909;;01/06/2017
M992;G211;314909;;01/06/2017
M916;WA109;284864;;01/06/2017
M952;L125;296319;;01/06/2017
M992;D226;312776;;01/06/2017
M992;D218;312776;;01/06/2017
M992;D227;312776;;01/06/2017
M992;M118;344172;;01/06/2017
KD26;T222;299858;;01/06/2017
M192;B104;275265;;01/06/2017
M322;Q1630;251064;;01/06/2017
M632;Q1412;251064;;01/06/2017
M692;F02;268666;;01/06/2017
M762;V106;292798;;01/06/2017
M916;A118;276319;;01/07/2017
M330;G07;339541;;01/07/2017
K232;K066;226457;;01/07/2017
M632;Q1812;290608;;01/07/2017
KD26;N207;298028;;01/07/2017
KF86;M312;331087;;01/07/2017
M822;L415;276923;;01/07/2017
M992;E234;313466;;01/07/2017
M762;X119;292469;;01/07/2017
M192;T122;323225;;01/08/2017
M082;D14;294288;;01/08/2017
KF86;KA306;321140;;01/08/2017
KF86;KA307;321140;;01/08/2017
KD26;J225;298864;;01/08/2017
M992;I233;313649;;01/08/2017
M992;C138;312347;;01/08/2017
M762;W101;293413;;01/08/2017
M762;Y110;292934;;01/08/2017
M762;C109;292792;;01/08/2017
M762;E120;292464;;01/08/2017
M152;AB317;243563;;01/09/2017
M992;L122;314278;;01/09/2017
M992;C127;312743;;01/09/2017
KH02;J208;344330;;01/09/2017
M192;O108;272265;;01/09/2017
L220;E09;220987;;01/09/2017
M692;N15;344874;;01/09/2017
M992;D211;312680;;01/10/2017
M692;I07;325117;;01/10/2017
M916;UA116;302057;;01/10/2017
M692;C13;291827;;01/10/2017
M992;C202;343273;;01/10/2017
M992;A214;312656;;01/10/2017
KN06;M510;344215;;01/10/2017
M762;S125;292834;;01/10/2017
M992;K218;314197;;01/10/2017
M692;AL07;300371;;01/10/2017
M992;E114;313419;;01/10/2017
KF86;JA304;309019;;01/10/2017
KF86;JA305;309019;;01/10/2017
KG92;F206;326915;;01/10/2017
L220;A18;256558;;01/11/2017
M092;I16;276170;;01/11/2017
M752;O106;345938;;01/11/2017
K19X;A07;300700;;01/11/2017
K19X;I26;300700;;01/11/2017
K19X;I22;300700;;01/11/2017
K19X;G29;300700;;01/11/2017
K19X;G27;300700;;01/11/2017
K19X;F16;300700;;01/11/2017
K19X;F15;300700;;01/11/2017
K19X;D19;300700;;01/11/2017
K19X;E22;300700;;01/11/2017
K19X;D07;300700;;01/11/2017
M916;A120;277104;;01/11/2017
KD26;D223;299233;;01/11/2017
M692;E10;294535;;01/11/2017
K232;C1012;345925;;01/11/2017
M952;B106;296327;;01/11/2017
M752;O108;290262;;01/11/2017
M752;B125;290278;;01/11/2017
M322;Q2114;193666;;01/12/2017
M152;AE304;243653;;01/12/2017
M152;AE306;243653;;01/12/2017
M152;AE307;243653;;01/12/2017
M322;Q0604;250859;;01/12/2017
KF86;FA329;309026;;01/12/2017
L242;C10;345846;;01/01/2018
KD26;W220;298024;;01/01/2018
M992;D213;312665;;01/01/2018
M632;Q0711;290001;;01/01/2018
L220;L22;302622;;01/01/2018
KD26;N232;298623;;01/01/2018
M992;C206;313565;;01/01/2018
M916;M102;275890;;01/01/2018
M992;C137;312349;;01/01/2018
KF86;S301;313578;;01/02/2018
M692;J09;263699;;01/02/2018
KF86;L311;347335;;01/02/2018
L242;M03;286675;;01/02/2018
M092;V15;344688;;01/02/2018
M322;Q2103;252923;;01/02/2018
M916;R109;340526;;01/03/2018
M992;F110;314900;;01/03/2018
L73X;121262;255393;;01/03/2018
M692;B14;293705;;01/03/2018
M992;M112;312295;;01/04/2018
KN06;D507;344239;;01/04/2018
KD26;P204;299936;;01/04/2018
M992;F109;312931;;01/04/2018
M092;O14;271623;;01/04/2018
KF86;NA311;335807;;01/04/2018
M632;Q0904;346851;;01/04/2018
KF86;CA304;345808;;01/04/2018
M916;RA122;279760;;01/05/2018
KF86;Z335;309187;;01/06/2018
KF86;IA324;308452;;01/06/2018
L220;J31;236984;;01/06/2018
M992;B132;313107;;01/06/2018
M762;H102;292530;;01/06/2018
M762;H103;292531;;01/06/2018
M916;T101;277234;;01/06/2018
KD26;B203;299159;;01/06/2018
M916;E113;276082;;01/07/2018
K232;U027;345049;;01/07/2018
M692;O13;294756;;01/07/2018
M916;M124;279191;;01/07/2018
M692;AE03;337499;;01/07/2018
M992;C109;313391;;01/07/2018
KD26;T217;298823;;01/07/2018
M632;Q1415;349103;;01/07/2018
M952;C110;302294;;01/07/2018
KD26;T218;298823;;01/07/2018
M992;K207;312424;;01/07/2018
K872;L01;277132;;01/07/2018
KD26;DA202;298014;;01/07/2018
M092;AJ11;347068;;01/08/2018
KD26;CA204;300320;;01/08/2018
M692;AD07;305267;;01/08/2018
M916;L114;275567;;01/09/2018
M916;N120;275504;;01/09/2018
L242;N11;244155;;01/09/2018
KF86;MA324;315079;;01/09/2018
KD26;J217;298557;;01/09/2018
M192;L108;273633;;01/09/2018
KF86;PA303;308424;;01/09/2018
M092;AQ26;249459;;01/10/2018
M992;H219;312841;;01/10/2018
M992;A208;313490;;01/10/2018
M952;L130;325733;;01/11/2018
M992;M114;313519;;01/11/2018
KF86;M308;332100;;01/11/2018
KD26;BA204;298654;;01/12/2018
K872;B15;276831;;01/01/2019
KF86;CA310;346020;;01/01/2019
M992;K219;349208;;01/01/2019
M330;E20;320617;;01/01/2019
M916;LA115;276202;;01/01/2019
M992;F203;314617;;01/01/2019
M992;F202;314617;;01/01/2019
M916;LA116;276202;;01/01/2019
KG92;O219;345899;;01/01/2019
M992;K114;314306;;01/02/2019
L220;D121;299375;;01/02/2019
M992;E107;312998;;01/02/2019
L242;K28;344305;;01/02/2019
KF86;NA326;315330;;01/02/2019
M992;G212;312792;;01/03/2019
