Considerar?;Cód. Cliente;Tipo da Ação;Data Citação;Status da Ação;Tipo da Ação;Data do Encerramento;Data encerramento maior que citação;Localizado;Qtde. de Ações por Cliente;Ordem de Priorização
1;64675;RESCISÃO CONTRATUAL SEM ATRASO;30/09/2019;ATIVO;CÍVEL;;0;1;1;15
1;65250;MULTA CONTRATUAL POR ATRASO;31/10/2017;ATIVO;CÍVEL;;0;1;1;15
1;66328;MULTA CONTRATUAL POR ATRASO;30/09/2017;ATIVO;CÍVEL;;0;1;1;15
1;66519;VÍCIOS CONSTRUTIVOS;31/05/2021;ATIVO;CÍVEL;;0;1;1;9
1;66838;VÍCIOS CONSTRUTIVOS;31/10/2020;ATIVO;CÍVEL;;0;1;3;9
1;66838;VÍCIOS CONSTRUTIVOS;30/09/2020;ATIVO;CÍVEL;;0;1;3;9
1;66838;VÍCIOS CONSTRUTIVOS;30/11/2020;ATIVO;CÍVEL;;0;1;3;9
1;66875;INDENIZAÇÃO;31/07/2022;ATIVO;CÍVEL;;0;1;1;15
1;66895;VÍCIOS CONSTRUTIVOS;31/03/2019;ATIVO;CÍVEL;;0;1;2;9
1;66895;VÍCIOS CONSTRUTIVOS (ASSOCIAÇÃO);31/03/2019;ATIVO;CÍVEL;;0;1;2;12
1;67408;VÍCIOS CONSTRUTIVOS;31/03/2016;ATIVO;CÍVEL;;0;1;1;9
1;67746;MULTA CONTRATUAL;28/02/2019;ATIVO;CÍVEL;;0;1;1;15
1;68925;RESCISÃO CONTRATUAL SEM ATRASO;30/11/2010;ATIVO;CÍVEL;;0;1;1;15
1;69435;VÍCIOS CONSTRUTIVOS;31/07/2019;ATIVO;CÍVEL;;0;1;3;9
1;69435;MULTA CONTRATUAL;30/06/2019;ATIVO;CÍVEL;;0;1;3;15
1;69435;VÍCIOS CONSTRUTIVOS;30/06/2019;ATIVO;CÍVEL;;0;1;3;9
1;72304;RESCISÃO CONTRATUAL SEM ATRASO;31/08/2012;ATIVO;CÍVEL;;0;1;1;15
1;73779;RESCISÃO CONTRATUAL COM ATRASO;31/08/2019;ATIVO;CÍVEL;;0;1;1;15
1;74064;RESCISÃO CONTRATUAL COM ATRASO;30/11/2020;ATIVO;CÍVEL;;0;1;1;15
1;75198;NEGATIVAÇÃO INDEVIDA;31/12/2013;ATIVO;CÍVEL;;0;1;3;5
1;75198;MULTA CONTRATUAL POR ATRASO;31/05/2016;ATIVO;CÍVEL;;0;1;3;15
1;75198;COBRANÇA INDEVIDA;31/08/2013;ATIVO;CÍVEL;;0;1;3;3
1;75273;RESCISÃO CONTRATUAL SEM ATRASO;30/09/2018;ATIVO;CÍVEL;;0;1;1;15
1;75497;RESCISÃO CONTRATUAL COM ATRASO;31/03/2019;ATIVO;CÍVEL;;0;1;1;15
1;76198;MULTA CONTRATUAL POR ATRASO;31/03/2022;ATIVO;CÍVEL;;0;1;1;15
1;76541;RESCISÃO CONTRATUAL SEM ATRASO;30/09/2018;ATIVO;CÍVEL;;0;1;1;15
1;76820;RESTITUIÇÃO DA TAXA ASSOCIATIVA;31/03/2012;ATIVO;CÍVEL;;0;1;1;12
1;77733;RESCISÃO CONTRATUAL COM ATRASO;31/08/2020;ATIVO;CÍVEL;;0;1;1;15
1;78540;RESCISÃO - DISTRATO UNILATERAL;31/03/2021;ATIVO;CÍVEL;;0;1;1;15
1;79861;RESCISÃO CONTRATUAL SEM ATRASO;30/11/2017;ATIVO;CÍVEL;;0;1;1;15
1;79899;MULTA CONTRATUAL POR ATRASO;30/06/2022;ATIVO;CÍVEL;;0;1;1;15
1;79901;MULTA CONTRATUAL POR ATRASO;30/11/2021;ATIVO;CÍVEL;;0;1;3;15
